# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	24251	24709	-	KEBBGD_00022		N-acetyltransferase	EC:2.3.1.-, GO:0008080, SO:0001217, UniRef:UniRef50_A0A0F7HAC3, UniRef:UniRef90_UPI0021B71795
contig_1	cds	24682	25248	-	KEBBGD_00023		DNA-3-methyladenine glycosylase I	EC:3.2.2.20, KEGG:K01246, SO:0001217, UniRef:UniRef50_A0A085G4J9, UniRef:UniRef90_UPI00077C51CE
contig_1	cds	25446	27437	+	KEBBGD_00024		Lipase 1	KEGG:K12686, SO:0001217, UniRef:UniRef50_A7MPR3, UniRef:UniRef90_A0A2X4U1T5
contig_1	cds	28268	29014	+	KEBBGD_00025	lasR	Transcriptional activator protein lasR	KEGG:K19734, RefSeq:WP_278430591.1, SO:0001217, UniParc:UPI000EB8148E, UniRef:UniRef100_A0A9C7QV25, UniRef:UniRef50_A0A083ZUN2, UniRef:UniRef90_A0A379ZGL8
contig_1	cds	28973	29632	-	KEBBGD_00026		Acyl-homoserine-lactone synthase	EC:2.3.1.184, KEGG:K22956, RefSeq:WP_278430611.1, SO:0001217, UniParc:UPI000EE5492C, UniRef:UniRef100_A0A9C7QT05, UniRef:UniRef50_P33880, UniRef:UniRef90_A0A379ZG00
contig_1	cds	30001	31341	-	KEBBGD_00027		D-galactarate permease	RefSeq:WP_278430590.1, SO:0001217, UniParc:UPI000EBC46EE, UniRef:UniRef100_A0A9C7QT02, UniRef:UniRef50_V2TJM8, UniRef:UniRef90_A0A240A5X8
contig_1	cds	31454	32518	+	KEBBGD_00028	glyQ	glycine--tRNA ligase subunit alpha	COG:COG0752, COG:J, EC:6.1.1.14, GO:0000166, GO:0004820, GO:0005524, GO:0005829, GO:0006426, KEGG:K01878, SO:0001217, UniRef:UniRef50_P00960, UniRef:UniRef90_P00960
contig_1	cds	32528	34597	+	KEBBGD_00029	glyS	Glycine--tRNA ligase beta subunit	COG:COG0751, COG:J, EC:6.1.1.14, GO:0004814, GO:0004820, GO:0005524, GO:0005829, GO:0006420, GO:0006426, SO:0001217, UniRef:UniRef50_P00961, UniRef:UniRef90_Q8Z9W7
contig_1	cds	34871	35590	+	KEBBGD_00030		DUF3053 domain-containing protein	RefSeq:WP_037421136.1, SO:0001217, UniParc:UPI0004E6052B, UniRef:UniRef100_A0A7G2JFN2, UniRef:UniRef50_A0A1B7L4J2, UniRef:UniRef90_A8G7U1
contig_1	cds	36139	38055	+	KEBBGD_00031	mtlA2	PTS system mannitol-specific EIICBA component	COG:COG4668, COG:G, EC:2.7.1.197, KEGG:K02800, RefSeq:WP_261444355.1, SO:0001217, UniParc:UPI0021794F39, UniRef:UniRef100_UPI0021794F39, UniRef:UniRef50_P00550, UniRef:UniRef90_A0A7S4LU31
contig_1	cds	38117	39271	+	KEBBGD_00032		mannitol-1-phosphate 5-dehydrogenase	EC:1.1.1.17, GO:0008926, GO:0019594, KEGG:K00009, RefSeq:WP_261444356.1, SO:0001217, UniParc:UPI000EE01991, UniRef:UniRef100_A0A9C7V6G9, UniRef:UniRef50_Q8Z9X0, UniRef:UniRef90_A0A084A2D6
contig_1	cds	39452	40003	+	KEBBGD_00033	mtlR	Mannitol operon repressor	COG:COG3722, COG:K, RefSeq:WP_037421127.1, SO:0001217, UniParc:UPI0004E6DB51, UniRef:UniRef100_A0A7G2JG34, UniRef:UniRef50_E5YMU9, UniRef:UniRef90_A0A084A2D5
contig_1	cds	40000	40608	-	KEBBGD_00034		Cysteine/O-acetylserine efflux protein	KEGG:K11249, RefSeq:WP_061808222.1, SO:0001217, UniParc:UPI00076F349F, UniRef:UniRef100_A0A7G2JF39, UniRef:UniRef50_A0A1U9K0H7, UniRef:UniRef90_A0A240A7G5
contig_1	cds	40748	42214	+	KEBBGD_00035	aRO8	Transcriptional regulator, GntR family with aminotransferase domain	COG:COG1167, COG:KE, RefSeq:WP_130382816.1, SO:0001217, UniParc:UPI000ED3EB01, UniRef:UniRef100_A0A9C7QTV2, UniRef:UniRef50_A0A2U3TH19, UniRef:UniRef90_A0A7U3YXL8
contig_1	cds	42287	42649	+	KEBBGD_00036	yibL	YibL family ribosome-associated protein	KEGG:K14762, RefSeq:WP_037421118.1, SO:0001217, UniParc:UPI0004E77718, UniRef:UniRef100_A0A7G2JFT6, UniRef:UniRef50_A0A1S8CEW1, UniRef:UniRef90_A0A1S8CEW1
contig_1	cds	42795	43574	-	KEBBGD_00037	ubiE	Malonyl-[acyl-carrier protein] O-methyltransferase	COG:COG2226, COG:HJ, SO:0001217, UniRef:UniRef50_Q9I5X8, UniRef:UniRef90_A0A1C3HL77
contig_1	cds	43688	44359	-	KEBBGD_00038	yiiM	6-hydroxyaminopurine reductase	COG:COG2258, COG:FV, GO:0003824, GO:0030151, GO:0030170, RefSeq:WP_037421113.1, SO:0001217, UniParc:UPI0004E66CF4, UniRef:UniRef100_A0A9C7QS43, UniRef:UniRef50_P32157, UniRef:UniRef90_A0A240A610
contig_1	cds	44490	45104	+	KEBBGD_00039		Histidine phosphatase family protein	RefSeq:WP_130382812.1, SO:0001217, UniParc:UPI00102AF198, UniRef:UniRef100_UPI00102AF198, UniRef:UniRef50_A0A9X8YQP6, UniRef:UniRef90_A0A9C7QV18
contig_1	cds	45139	47064	-	KEBBGD_00040		HAMP domain-containing protein	SO:0001217, UniRef:UniRef50_A0A4U9HA93, UniRef:UniRef90_A0A5Q2V7F3
contig_1	cds	47189	47809	-	KEBBGD_00041	sodA	superoxide dismutase [Mn]	COG:COG0605, COG:P, EC:1.15.1.1, GO:0004784, GO:0006801, KEGG:K04564, RefSeq:WP_037421110.1, SO:0001217, UniParc:UPI0004E751BB, UniRef:UniRef100_A0A7G2JFP1, UniRef:UniRef50_P43725, UniRef:UniRef90_A9U910
contig_1	cds	47937	48764	-	KEBBGD_00042	fdhD	formate dehydrogenase accessory sulfurtransferase FdhD	GO:0009061, GO:0009326, GO:0015942, GO:0016783, KEGG:K02379, SO:0001217, UniParc:UPI0004E68F19, UniRef:UniRef100_A0A9C7QSH1, UniRef:UniRef50_P32177, UniRef:UniRef90_S4YDQ0
contig_1	ncRNA-region	48826	49007	+			FdoG-1 5' UTR thermometer	RFAM:RF02778, SO:0002168
contig_1	cds	48978	52025	+	KEBBGD_00043	fdnG	formate dehydrogenase-N subunit alpha	COG:C, COG:COG0243, EC:1.17.5.3, GO:0008863, GO:0009055, GO:0009326, GO:0015942, GO:0043546, GO:0047111, SO:0001217, UniRef:UniRef50_P32176, UniRef:UniRef90_A0A0U1QXP6
contig_1	ncRNA-region	49560	49618	+			Selenocysteine insertion sequence 3	RFAM:RF01989, SO:1001268
contig_1	cds	52038	52937	+	KEBBGD_00044	fdxH	formate dehydrogenase subunit beta	COG:C, COG:COG0437, EC:1.17.1.9, GO:0008863, GO:0015944, GO:0016020, GO:0051539, RefSeq:WP_037421096.1, SO:0001217, UniParc:UPI0004E71241, UniRef:UniRef100_A0A7G2JF49, UniRef:UniRef50_P0AAJ3, UniRef:UniRef90_A0AAJ1YCG0
contig_1	cds	52934	53569	+	KEBBGD_00045	fdoI	formate dehydrogenase cytochrome b556 subunit	EC:1.17.5.3, RefSeq:WP_012004559.1, SO:0001217, UniParc:UPI0000E749DC, UniRef:UniRef100_A8G7V6, UniRef:UniRef50_P0AEL0, UniRef:UniRef90_E9CKZ9
contig_1	cds	53569	54498	+	KEBBGD_00046	fdhE	formate dehydrogenase accessory protein FdhE	GO:0005829, GO:0008199, GO:0051604, KEGG:K02380, SO:0001217, UniRef:UniRef50_P44452, UniRef:UniRef90_A8G7V7
contig_1	cds	54638	55285	+	KEBBGD_00047		DcrB-related protein	RefSeq:WP_037421092.1, SO:0001217, UniParc:UPI0004E6EA60, UniRef:UniRef100_A0A9C7V5A3, UniRef:UniRef50_A0A240A7E3, UniRef:UniRef90_A0A7U0NAH7
contig_1	cds	55320	55925	+	KEBBGD_00048		glutathione S-transferase	EC:2.5.1.18, GO:0005515, GO:0006749, RefSeq:WP_130382804.1, SO:0001217, UniParc:UPI00102B42C2, UniRef:UniRef100_UPI00102B42C2, UniRef:UniRef50_P0ACA1, UniRef:UniRef90_S4YDQ4
contig_1	cds	55994	57385	+	KEBBGD_00049	selA	L-seryl-tRNA(Sec) selenium transferase	EC:2.9.1.1, GO:0001514, GO:0001717, GO:0004125, GO:0005737, KEGG:K01042, SO:0001217, UniRef:UniRef50_P0A821, UniRef:UniRef90_A8G7W0
contig_1	cds	57382	59223	+	KEBBGD_00050	selB	selenocysteine-specific translation elongation factor	GO:0001514, GO:0003723, GO:0003746, GO:0003924, GO:0005525, GO:0005737, SO:0001217, UniRef:UniRef50_P14081, UniRef:UniRef90_A0A379ZFD0
contig_1	cds	59352	60614	-	KEBBGD_00051		FG-GAP repeat	SO:0001217, UniRef:UniRef50_E4MZ33, UniRef:UniRef90_A0A2X4TS61
contig_1	cds	60607	61344	-	KEBBGD_00052		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A0L0ULX3, UniRef:UniRef90_UPI0021BD2EC5
contig_1	cds	61567	62547	-	KEBBGD_00053		UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)	SO:0001217, UniRef:UniRef50_E4MZ35
contig_1	cds	62728	63630	+	KEBBGD_00054		D-malate degradation protein R	SO:0001217, UniRef:UniRef50_A0A2X4TQQ0, UniRef:UniRef90_A0A2X4TQQ0
contig_1	cds	63788	64948	+	KEBBGD_00055		MFS transporter	KEGG:K19577, RefSeq:WP_261444366.1, SO:0001217, UniParc:UPI00217C364B, UniRef:UniRef100_UPI00217C364B, UniRef:UniRef50_A0A1V0R7Z5, UniRef:UniRef90_S4YI14
contig_1	cds	64980	66131	+	KEBBGD_00056		acyltransferase	KEGG:K16568, SO:0001217, UniRef:UniRef50_A0A2X4TP72, UniRef:UniRef90_UPI0015763420
contig_1	cds	66149	67105	+	KEBBGD_00057		alpha/beta hydrolase	RefSeq:WP_261444368.1, SO:0001217, UniParc:UPI00217B3D4F, UniRef:UniRef100_UPI00217B3D4F, UniRef:UniRef50_A0A2X4WYH3, UniRef:UniRef90_UPI001576D3A8
contig_1	cds	67096	67884	+	KEBBGD_00058		SDR family NAD(P)-dependent oxidoreductase	RefSeq:WP_261444369.1, SO:0001217, UniParc:UPI00217AB1F3, UniRef:UniRef100_UPI00217AB1F3, UniRef:UniRef90_A0A0L0UNV5
contig_1	cds	67896	68681	+	KEBBGD_00059	fabG	3-oxoacyl-[acyl-carrier-protein] reductase FabG	SO:0001217, UniRef:UniRef50_A0A068R642, UniRef:UniRef90_A0A2X4TS30
contig_1	cds	68941	70188	-	KEBBGD_00060	araJ	Multidrug transporter MdfA	COG:COG2814, COG:G, KEGG:K08160, SO:0001217, UniRef:UniRef50_P0AEY8, UniRef:UniRef90_A0A240A7X8
contig_1	cds	70438	71400	+	KEBBGD_00061	wecH	O-acetyltransferase WecH	SO:0001217, UniRef:UniRef50_P37669, UniRef:UniRef90_A0A2X4TQF3
contig_1	cds	71395	72318	-	KEBBGD_00062	araC	AraC family transcriptional regulator	SO:0001217, UniRef:UniRef50_A7MKS0, UniRef:UniRef90_A0A7G2JG56
contig_1	cds	72321	72872	-	KEBBGD_00063		Isochorismatase hydrolase	SO:0001217, UniRef:UniRef50_A7MKR8, UniRef:UniRef90_A0A7U4DUH5
contig_1	cds	72973	74220	-	KEBBGD_00064		Deaminase	SO:0001217, UniRef:UniRef50_A0A240A768, UniRef:UniRef90_A0A9C7QSY6
contig_1	cds	74636	76087	-	KEBBGD_00065	xylB	xylulokinase	EC:2.7.1.17, GO:0004856, GO:0005997, SO:0001217, UniRef:UniRef50_A0A4U9H9M1, UniRef:UniRef90_A0A379ZG65
contig_1	cds	76131	77447	-	KEBBGD_00066	xylA	xylose isomerase	EC:5.3.1.5, GO:0000287, GO:0005737, GO:0009045, GO:0042732, KEGG:K01805, RefSeq:WP_278430581.1, SO:0001217, UniParc:UPI000ED136E3, UniRef:UniRef100_A0A9C7QSG3, UniRef:UniRef50_P00944, UniRef:UniRef90_A8G7W8
contig_1	cds	77459	78910	-	KEBBGD_00067	nhaC	Na+/H+ antiporter NhaC	GO:0006814, GO:0015297, GO:0015385, GO:0016020, GO:1902600, RefSeq:WP_202819432.1, SO:0001217, UniParc:UPI00076F3C6D, UniRef:UniRef100_UPI00076F3C6D, UniRef:UniRef50_J0NG78, UniRef:UniRef90_A0A9C7QS24
contig_1	cds	78917	80095	-	KEBBGD_00068		cysteine-S-conjugate beta-lyase	RefSeq:WP_278430580.1, SO:0001217, UniParc:UPI000EE8B275, UniRef:UniRef100_A0A9C7QVK4, UniRef:UniRef50_A0A379FF13, UniRef:UniRef90_A0A9C7QVK4
contig_1	cds	80300	81478	+	KEBBGD_00069	araC	M5 polypeptide	COG:COG2207, COG:K, RefSeq:WP_037420591.1, SO:0001217, UniParc:UPI0004E690F1, UniRef:UniRef100_A0A7G2JFQ6, UniRef:UniRef50_P45043, UniRef:UniRef90_A0A240A766
contig_1	cds	81512	82366	-	KEBBGD_00070	lysR	HTH-type transcriptional activator AllS	COG:COG0583, COG:K, SO:0001217, UniRef:UniRef50_K1JD05, UniRef:UniRef90_A0A3S4WQY1
contig_1	cds	82493	83692	+	KEBBGD_00071	yeaN	Inner membrane transport protein YeaN	RefSeq:WP_316044606.1, SO:0001217, UniParc:UPI0021C4D305, UniRef:UniRef100_UPI0021C4D305, UniRef:UniRef50_P17583, UniRef:UniRef90_A0A240A8F9
contig_1	cds	83769	85115	+	KEBBGD_00072		Phytase-like domain-containing protein	COG:COG4222, COG:S, SO:0001217, UniRef:UniRef50_D1P4D1, UniRef:UniRef90_A8G7X7
contig_1	tRNA	85217	85311	+	KEBBGD_00073	trnU	tRNA-SeC(tca)	SO:0005857
contig_1	cds	85487	86671	+	KEBBGD_00074		Integrase	SO:0001217, UniRef:UniRef50_A0A8S5PEN1, UniRef:UniRef90_A0A1X1EPP9
contig_1	cds	86668	87483	+	KEBBGD_00075		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A1X1EPC2, UniRef:UniRef90_A0A5Q2VBG6
contig_1	cds	87619	87915	+	KEBBGD_00076		Transcriptional regulator	RefSeq:WP_084797459.1, SO:0001217, UniParc:UPI00076F3BE2, UniRef:UniRef100_A0A5Q2VD16, UniRef:UniRef50_A0A5Q2VD16, UniRef:UniRef90_A0A5Q2VD16
contig_1	cds	88262	88438	+	KEBBGD_00077		Host cell division inhibitor Icd-like protein	RefSeq:WP_021807316.1, SO:0001217, UniParc:UPI0003AED065, UniRef:UniRef100_A0A1C3HKW0, UniRef:UniRef50_A0A084A2X2, UniRef:UniRef90_A0A5Q2V7I1
contig_1	cds	88431	88784	+	KEBBGD_00078		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A5Q2VDM4, UniRef:UniRef90_A0A7W4I0V5
contig_1	cds	88829	89110	+	KEBBGD_00079		hypothetical protein	RefSeq:WP_261415294.1, SO:0001217, UniParc:UPI00217838DB, UniRef:UniRef100_UPI00217838DB, UniRef:UniRef50_A0A1C3HKU8, UniRef:UniRef90_A0A1C3HKU8
contig_1	cds	89107	89457	+	KEBBGD_00080		DUF5375 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A5Q2VBV3, UniRef:UniRef90_A0A5Q2VBV3
contig_1	cds	89468	92149	+	KEBBGD_00081	traC	DNA primase TraC	SO:0001217, UniRef:UniRef50_A0A6P1PZ11, UniRef:UniRef90_A0A1C3HKZ2
contig_1	cds	92572	93321	+	KEBBGD_00082		Glycoprotein 3	SO:0001217, UniRef:UniRef50_A0A5Q2V7L2, UniRef:UniRef90_UPI0021830A1A
contig_1	cds	93324	93560	+	KEBBGD_00083		Transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A1S8CFD9, UniRef:UniRef90_A0A1S8CFD9
contig_1	cds	93922	95616	+	KEBBGD_00084		zinc ribbon domain-containing protein	RefSeq:WP_262034148.1, SO:0001217, UniParc:UPI0021C6E2C5, UniRef:UniRef100_UPI0021C6E2C5, UniRef:UniRef50_UPI0021C6E2C5, UniRef:UniRef90_UPI0021C6E2C5
contig_1	cds	95616	96458	+	KEBBGD_00085		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI0021C981AE, UniRef:UniRef90_UPI0021C981AE
contig_1	cds	96978	97712	-	KEBBGD_00086		transporter substrate-binding domain-containing protein	RefSeq:WP_262190280.1, SO:0001217, UniParc:UPI0021C4DFDD, UniRef:UniRef100_UPI0021C4DFDD, UniRef:UniRef50_A0A6J5C3W3, UniRef:UniRef90_UPI0021BD6CF3
contig_1	cds	98028	99461	+	KEBBGD_00087		PLP-dependent aminotransferase family protein	RefSeq:WP_261453767.1, SO:0001217, UniParc:UPI00217CBDF2, UniRef:UniRef100_UPI00217CBDF2, UniRef:UniRef50_A0A6J5F443, UniRef:UniRef90_UPI00077C3072
contig_1	cds	99772	99972	+	KEBBGD_00088		DUF4942 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2A2MCV7
contig_1	cds	100210	100533	+	KEBBGD_00089		DUF3302 domain-containing protein	RefSeq:WP_037426114.1, SO:0001217, UniParc:UPI0004E7169C, UniRef:UniRef100_A0A7G2JGJ4, UniRef:UniRef50_A0AAQ1K754, UniRef:UniRef90_A8G7Y4
contig_1	cds	100539	101675	+	KEBBGD_00090		Membrane fusion protein biotin-lipoyl like domain-containing protein	RefSeq:WP_037426117.1, SO:0001217, UniParc:UPI0004E72012, UniRef:UniRef100_UPI0004E72012, UniRef:UniRef50_P37683, UniRef:UniRef90_A0A9C7QUZ9
contig_1	cds	102238	102825	-	KEBBGD_00091		Histidine phosphatase superfamily (Branch 1)	SO:0001217, UniRef:UniRef50_K8WL81, UniRef:UniRef90_A0A379ZG43
contig_1	cds	102971	103207	+	KEBBGD_00092		DUF4282 domain-containing protein	RefSeq:WP_037426124.1, SO:0001217, UniParc:UPI0004E78219, UniRef:UniRef100_A0A5Q2V7M0, UniRef:UniRef50_W0LDP3, UniRef:UniRef90_A0A250B0Q3
contig_1	cds	103242	103664	-	KEBBGD_00093		Histidine triad (HIT) protein	RefSeq:WP_130382770.1, SO:0001217, UniParc:UPI00102B7138, UniRef:UniRef100_UPI00102B7138, UniRef:UniRef50_A8G7Y9, UniRef:UniRef90_A8G7Y9
contig_1	cds	103767	104804	-	KEBBGD_00094		Degradation activator	RefSeq:WP_037426129.1, SO:0001217, UniParc:UPI0004E65D4C, UniRef:UniRef100_A0A9C7QS16, UniRef:UniRef50_A0A0H3FT12, UniRef:UniRef90_A0A379ZFG4
contig_1	cds	104873	105634	-	KEBBGD_00095		Rhamnolipids biosynthesis 3-oxoacyl-[acyl-carrier-protein] reductase	RefSeq:WP_037426132.1, SO:0001217, UniParc:UPI0004E6644B, UniRef:UniRef100_UPI0004E6644B, UniRef:UniRef50_A0A075B5H4, UniRef:UniRef90_A0A2X2H0G8
contig_1	cds	105657	107528	-	KEBBGD_00096		Neu5Ac permease	SO:0001217, UniRef:UniRef50_A8AMU4, UniRef:UniRef90_A0A379ZEP8
contig_1	cds	107553	108566	-	KEBBGD_00097		TRAP transporter substrate-binding protein	SO:0001217, UniRef:UniRef50_A8AMU5, UniRef:UniRef90_A0A7W4I337
contig_1	cds	108889	110337	+	KEBBGD_00098		Serine aminopeptidase S33 domain-containing protein	RefSeq:WP_262190288.1, SO:0001217, UniParc:UPI0021C4E531, UniRef:UniRef100_UPI0021C4E531, UniRef:UniRef50_F6AHI8, UniRef:UniRef90_A0A7U3YXQ4
contig_1	cds	110334	111083	-	KEBBGD_00099		Epimerase	RefSeq:WP_061808189.1, SO:0001217, UniParc:UPI00076F36F2, UniRef:UniRef100_A0A7G2JGJ1, UniRef:UniRef50_A0A2N7RU20, UniRef:UniRef90_S4YDS2
contig_1	cds	111176	112039	-	KEBBGD_00100	lysR	LysR family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A0N0GLE3, UniRef:UniRef90_UPI00217A9794
contig_1	cds	112154	112912	+	KEBBGD_00101		3-oxoacyl-ACP reductase	SO:0001217, UniRef:UniRef50_A0AA39CWH6, UniRef:UniRef90_A0A9C7QTT0
contig_1	cds	113174	115033	+	KEBBGD_00102	bglF	PTS beta-glucoside transporter subunit IIABC	EC:2.7.1.-, KEGG:K02757, SO:0001217, UniRef:UniRef50_P08722, UniRef:UniRef90_UPI002177F7FF
contig_1	cds	115048	116451	+	KEBBGD_00103	bglH	Aryl-phospho-beta-D-glucosidase BglH	SO:0001217, UniRef:UniRef50_P26206, UniRef:UniRef90_A0A2X4U4I6
contig_1	cds	116579	117973	+	KEBBGD_00104		Outer membrane protein D1	SO:0001217, UniRef:UniRef50_A0A2X4WYK1, UniRef:UniRef90_A0A2X4WYK1
contig_1	cds	117977	118576	-	KEBBGD_00105		Bifunctional (P)ppGpp synthetase/guanosine-3',5'-bis(Diphosphate) 3'-pyrophosphohydrolase	RefSeq:WP_261163607.1, SO:0001217, UniParc:UPI000EDFB96B, UniRef:UniRef100_A0A9C7QUY6, UniRef:UniRef50_A0A6P1Q5U4, UniRef:UniRef90_A0A7W4F5J3
