# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	11502	11915	+	EGDEDF_00011	ibpA	small heat shock chaperone IbpA	COG:COG0071, COG:O, GO:0005737, GO:0006950, GO:0050821, GO:0051082, KEGG:K04080, RefSeq:WP_004933919.1, SO:0001217, UniParc:UPI0002AF359D, UniRef:UniRef100_A0A086FH50, UniRef:UniRef50_Q8Z9V5, UniRef:UniRef90_A8G7R8
contig_1	cds	12023	12451	+	EGDEDF_00012	ibpB	small heat shock chaperone IbpB	COG:COG0071, COG:O, GO:0005737, GO:0006950, GO:0050821, GO:0051082, RefSeq:WP_004933922.1, SO:0001217, UniParc:UPI0002AF39A5, UniRef:UniRef100_A0A080V8M2, UniRef:UniRef50_A8G7R9, UniRef:UniRef90_A8G7R9
contig_1	cds	12622	14280	+	EGDEDF_00013	ybjL	putative transporter	COG:COG2985, COG:R, GO:0006813, GO:0008324, KEGG:K07085, RefSeq:WP_016929592.1, SO:0001217, UniParc:UPI0002DAF6C9, UniRef:UniRef100_A0A5C7CFC6, UniRef:UniRef50_P60872, UniRef:UniRef90_A0A1C3HL53
contig_1	cds	14323	15576	-	EGDEDF_00014	avtA	valine--pyruvate transaminase	COG:COG3977, COG:E, EC:2.6.1.66, KEGG:K00835, SO:0001217, UniRef:UniRef50_P09053, UniRef:UniRef90_A0A2K2ITU7
contig_1	cds	15712	17775	-	EGDEDF_00015	amyA	alpha-amylase	COG:COG0366, COG:G, EC:3.2.1.1, SO:0001217, UniRef:UniRef50_P25718, UniRef:UniRef90_A0A379Y7P7
contig_1	cds	17971	18123	+	EGDEDF_00016		hypothetical protein	RefSeq:WP_019455508.1, SO:0001217, UniParc:UPI0002F401C2, UniRef:UniRef100_A0A379Y7Z0, UniRef:UniRef50_A0A240A5P4, UniRef:UniRef90_A0A656VMS7
contig_1	cds	18125	19132	-	EGDEDF_00017	ghrB	glyoxylate/hydroxypyruvate reductase GhrB	COG:CHR, COG:COG1052, EC:1.1.1.79, EC:1.1.1.81, GO:0005829, GO:0005886, GO:0008465, GO:0016616, GO:0030267, GO:0051287, GO:0120509, SO:0001217, UniRef:UniRef50_P37666, UniRef:UniRef90_A8G7S7
contig_1	cds	19176	20444	-	EGDEDF_00018	uhpC	Inner membrane transport protein RhmT	COG:COG2271, COG:G, RefSeq:WP_033639091.1, SO:0001217, UniParc:UPI0004993B27, UniRef:UniRef100_A0A656VLM6, UniRef:UniRef50_U3GDJ8, UniRef:UniRef90_A0A240A5F3
contig_1	cds	20585	21553	-	EGDEDF_00019	rbsK	Uncharacterized sugar kinase ydjH	COG:COG0524, COG:G, SO:0001217, UniRef:UniRef50_A0A485ALX8, UniRef:UniRef90_A0A379ZFK1
contig_1	cds	21558	22310	-	EGDEDF_00020	ycjR	Sugar phosphate isomerase/epimerase	COG:COG1082, COG:G, RefSeq:WP_079452267.1, SO:0001217, UniParc:UPI0009A4D01D, UniRef:UniRef100_UPI0009A4D01D, UniRef:UniRef50_A0AAN5RN80, UniRef:UniRef90_A0AAN5RN80
contig_1	cds	22477	23511	-	EGDEDF_00021	purR	Ribose operon repressor	COG:COG1609, COG:K, RefSeq:WP_016929584.1, SO:0001217, UniParc:UPI0002EFB741, UniRef:UniRef100_A0A1Q5W3S0, UniRef:UniRef50_C9Y315, UniRef:UniRef90_A0A240A6R3
contig_1	cds	23636	24298	-	EGDEDF_00022	ompA	OmpA family lipoprotein	COG:COG2885, COG:M, GO:0009279, RefSeq:WP_016929583.1, SO:0001217, UniParc:UPI0002E6D1BF, UniRef:UniRef100_A0A080UY04, UniRef:UniRef50_P37665, UniRef:UniRef90_A0A379ZG37
contig_1	cds	24545	24958	-	EGDEDF_00023	rimI	N-acetyltransferase	COG:COG0456, COG:J, EC:2.3.1.-, GO:0008080, SO:0001217, UniRef:UniRef50_A0A0F7HAC3, UniRef:UniRef90_A0A379Y7H1
contig_1	cds	24994	25560	-	EGDEDF_00024	tag	DNA-3-methyladenine glycosylase 1	COG:COG2818, COG:L, EC:3.2.2.20, KEGG:K01246, RefSeq:WP_016929581.1, SO:0001217, UniParc:UPI0002D3766F, UniRef:UniRef100_A0A3E2E8X6, UniRef:UniRef50_A0A085JPA2, UniRef:UniRef90_A0A240A6C1
contig_1	cds	25757	27745	+	EGDEDF_00025	estA	Lipase 1	COG:COG5571, COG:U, KEGG:K12686, RefSeq:WP_028128061.1, SO:0001217, UniParc:UPI000482873B, UniRef:UniRef100_UPI000482873B, UniRef:UniRef50_A7MPR3, UniRef:UniRef90_A0A240A646
contig_1	cds	28469	29386	+	EGDEDF_00026	glyQ	glycine--tRNA ligase subunit alpha	COG:COG0752, COG:J, EC:6.1.1.14, GO:0000166, GO:0004820, GO:0005524, GO:0005829, GO:0006426, KEGG:K01878, RefSeq:WP_004933966.1, SO:0001217, UniParc:UPI0002AF253D, UniRef:UniRef100_A0A080V0K0, UniRef:UniRef50_P00960, UniRef:UniRef90_P00960
contig_1	cds	29396	31465	+	EGDEDF_00027	glyS	Glycine--tRNA ligase beta subunit	COG:COG0751, COG:J, EC:6.1.1.14, GO:0004814, GO:0004820, GO:0005524, GO:0005829, GO:0006420, GO:0006426, RefSeq:WP_033639088.1, SO:0001217, UniParc:UPI0004E37621, UniRef:UniRef100_A0A5C7CFD1, UniRef:UniRef50_P00961, UniRef:UniRef90_Q8Z9W7
contig_1	cds	31771	32490	+	EGDEDF_00028		DUF3053 domain-containing protein	RefSeq:WP_016929578.1, SO:0001217, UniParc:UPI0002DE28D7, UniRef:UniRef100_A0A221DX12, UniRef:UniRef50_A0A1B7L4J2, UniRef:UniRef90_A8G7U1
contig_1	cds	33032	34942	+	EGDEDF_00029	mtlA2	PTS system mannitol-specific EIICBA component	COG:COG4668, COG:G, EC:2.7.1.197, KEGG:K02800, RefSeq:WP_346403770.1, SO:0001217, UniParc:UPI0032048A5F, UniRef:UniRef100_UPI0032048A5F, UniRef:UniRef50_P00550, UniRef:UniRef90_A0A083ZZ33
contig_1	cds	35001	36146	+	EGDEDF_00030	mtlD	mannitol-1-phosphate 5-dehydrogenase	COG:COG0246, COG:G, EC:1.1.1.17, GO:0005829, GO:0008926, GO:0019592, GO:0019594, KEGG:K00009, RefSeq:WP_060444905.1, SO:0001217, UniParc:UPI000745379F, UniRef:UniRef100_A0A5C7CC55, UniRef:UniRef50_Q8Z9X0, UniRef:UniRef90_A8G7U3
contig_1	cds	36154	36792	+	EGDEDF_00031	mtlR	Mannitol repressor protein	COG:COG3722, COG:K, KEGG:K02562, SO:0001217, UniRef:UniRef50_E5YMU9, UniRef:UniRef90_S4YHY0
contig_1	cds	36789	37397	-	EGDEDF_00032	rhtB	LysE family translocator	COG:COG1280, COG:E, KEGG:K11249, RefSeq:WP_016929574.1, SO:0001217, UniParc:UPI0002D9286F, UniRef:UniRef100_A0A3E2E8R2, UniRef:UniRef50_A0A1S1X657, UniRef:UniRef90_A0A1Q4NYW9
contig_1	cds	37539	39005	+	EGDEDF_00033	aRO8	PLP-dependent aminotransferase family protein	COG:COG1167, COG:KE, RefSeq:WP_033639085.1, SO:0001217, UniParc:UPI0004E3262B, UniRef:UniRef100_A0A379Y703, UniRef:UniRef50_G2J0J6, UniRef:UniRef90_A0A379Y703
contig_1	cds	39079	39441	+	EGDEDF_00034	yibL	YibL family ribosome-associated protein	KEGG:K14762, RefSeq:WP_004933989.1, SO:0001217, UniParc:UPI0002B8A50D, UniRef:UniRef100_A0A084X1Y3, UniRef:UniRef50_A0A1S8CEW1, UniRef:UniRef90_A0A318NUL8
contig_1	cds	39453	40232	-	EGDEDF_00035	ubiE	Malonyl-[acyl-carrier protein] O-methyltransferase	COG:COG2226, COG:HJ, RefSeq:WP_049299615.1, SO:0001217, UniParc:UPI00066B10D5, UniRef:UniRef100_UPI00066B10D5, UniRef:UniRef50_Q9I5X8, UniRef:UniRef90_A0A1C3HL77
contig_1	cds	40335	41006	-	EGDEDF_00036	yiiM	6-hydroxyaminopurine reductase	COG:COG2258, COG:FV, GO:0003824, GO:0030151, GO:0030170, SO:0001217, UniRef:UniRef50_P32157, UniRef:UniRef90_A0A240A610
contig_1	cds	41105	43033	-	EGDEDF_00037	tar	Aspartate chemoreceptor protein	COG:COG0840, COG:T, RefSeq:WP_346403768.1, SO:0001217, UniParc:UPI003204D5B1, UniRef:UniRef100_UPI003204D5B1, UniRef:UniRef50_A0A4U9HA93, UniRef:UniRef90_A0AAN2R8Q3
contig_1	cds	43159	43779	-	EGDEDF_00038	sodA	superoxide dismutase [Mn]	COG:COG0605, COG:P, EC:1.15.1.1, GO:0004784, GO:0006801, KEGG:K04564, RefSeq:WP_004934003.1, SO:0001217, UniParc:UPI0002AF4328, UniRef:UniRef100_A0A0U6ARF8, UniRef:UniRef50_P43725, UniRef:UniRef90_A9U910
contig_1	cds	44196	47243	+	EGDEDF_00039	fdnG	formate dehydrogenase-N subunit alpha	COG:C, COG:COG0243, EC:1.17.5.3, GO:0008863, GO:0009055, GO:0009326, GO:0015942, GO:0043546, GO:0047111, RefSeq:WP_147827645.1, SO:0001217, UniParc:UPI0011C83074, UniRef:UniRef100_UPI0011C83074, UniRef:UniRef50_P32176, UniRef:UniRef90_A0A0U1QXP6
contig_1	ncRNA-region	44778	44836	+			Selenocysteine insertion sequence 3	RFAM:RF01989, SO:1001268
contig_1	cds	47256	48158	+	EGDEDF_00040	fdxH	formate dehydrogenase subunit beta	COG:C, COG:COG0437, EC:1.17.1.9, GO:0008863, GO:0015944, GO:0016020, GO:0051539, RefSeq:WP_033649532.1, SO:0001217, UniParc:UPI00041A37B8, UniRef:UniRef100_A0A0G3SPW7, UniRef:UniRef50_P44450, UniRef:UniRef90_A0A126VDX1
contig_1	cds	48155	48790	+	EGDEDF_00041	fdoI	formate dehydrogenase cytochrome b556 subunit	COG:C, COG:COG2864, EC:1.17.5.3, RefSeq:WP_004934017.1, SO:0001217, UniParc:UPI0002AF3312, UniRef:UniRef100_A0A080V3C7, UniRef:UniRef50_P0AEL0, UniRef:UniRef90_D4DZR7
contig_1	cds	48790	49719	+	EGDEDF_00042	fdhE	formate dehydrogenase accessory protein FdhE	COG:CO, COG:COG3058, KEGG:K02380, RefSeq:WP_033639080.1, SO:0001217, UniParc:UPI00044B556D, UniRef:UniRef100_A0A3E2E8Q3, UniRef:UniRef50_P13024, UniRef:UniRef90_A0A656VNJ1
contig_1	cds	49834	50484	+	EGDEDF_00043		DUF1795 domain-containing protein	RefSeq:WP_033639079.1, SO:0001217, UniParc:UPI0004E32143, UniRef:UniRef100_A0A349ZF42, UniRef:UniRef50_A0A240A7E3, UniRef:UniRef90_A0A349ZF42
contig_1	cds	50520	51125	+	EGDEDF_00044		glutathione S-transferase	EC:2.5.1.18, GO:0005515, GO:0006749, RefSeq:WP_004934025.1, SO:0001217, UniParc:UPI0002B8A6A1, UniRef:UniRef100_A0A3E2E8V8, UniRef:UniRef50_P0ACA1, UniRef:UniRef90_A0A3E2E8V8
contig_1	cds	51193	52587	+	EGDEDF_00045	selA	L-seryl-tRNA(Sec) selenium transferase	COG:COG1921, COG:J, EC:2.9.1.1, GO:0001514, GO:0004125, GO:0005737, KEGG:K01042, RefSeq:WP_115435350.1, SO:0001217, UniParc:UPI000E1CF7B8, UniRef:UniRef100_UPI000E1CF7B8, UniRef:UniRef50_P0A821, UniRef:UniRef90_A0A240A6K3
contig_1	cds	52584	54440	+	EGDEDF_00046	selB	selenocysteine-specific translation elongation factor	COG:COG3276, COG:J, GO:0001514, GO:0003723, GO:0003746, GO:0003924, GO:0005525, GO:0005737, SO:0001217, UniRef:UniRef50_P14081, UniRef:UniRef90_A0AAP8PUC7
contig_1	cds	54430	55341	-	EGDEDF_00047	lysR	Gcv operon activator	COG:COG0583, COG:K, KEGG:K03566, RefSeq:WP_346403766.1, SO:0001217, UniParc:UPI003204BDD2, UniRef:UniRef100_UPI003204BDD2, UniRef:UniRef50_A0A2C9EL20, UniRef:UniRef90_A0AAN2R822
contig_1	cds	55463	56089	+	EGDEDF_00048	rhtB	Leucine efflux protein	COG:COG1280, COG:E, SO:0001217, UniRef:UniRef50_A0A1Q8IUR4, UniRef:UniRef90_A0AAN2R9K6
contig_1	cds	56143	57498	-	EGDEDF_00049	araJ	Multidrug transporter MdfA	COG:COG2814, COG:G, KEGG:K08160, SO:0001217, UniRef:UniRef50_P0AEY8, UniRef:UniRef90_A0A240A7X8
contig_1	cds	57554	58600	+	EGDEDF_00050	wecH	O-acetyltransferase WecH	COG:COG3274, COG:M, SO:0001217, UniRef:UniRef50_A0A240A7B2, UniRef:UniRef90_A0A1C3HL92
contig_1	cds	58595	59518	-	EGDEDF_00051	glxA	HTH-type transcriptional regulator CdhR	COG:COG4977, COG:K, SO:0001217, UniRef:UniRef50_A7MKS0, UniRef:UniRef90_A0A1C3HL90
contig_1	cds	59521	60072	-	EGDEDF_00052	pncA	Hydrolase	COG:COG1335, COG:HR, RefSeq:WP_016929556.1, SO:0001217, UniParc:UPI00031B5C12, UniRef:UniRef100_UPI00031B5C12, UniRef:UniRef50_A7MKR8, UniRef:UniRef90_A0A1Q4NZ09
contig_1	cds	60173	61561	-	EGDEDF_00053	ssnA	N-isopropylammelide isopropyl amidohydrolase	COG:COG0402, COG:FR, SO:0001217, UniRef:UniRef50_A0A240A768, UniRef:UniRef90_A0A240A768
contig_1	cds	61768	62388	+	EGDEDF_00054	mJ0604	DNA polymerase subunit beta	COG:COG1708, COG:R, SO:0001217, UniRef:UniRef50_A8G7X3, UniRef:UniRef90_A0AAP6RTB7
contig_1	cds	62339	62779	+	EGDEDF_00055		DNA-binding protein	SO:0001217, UniRef:UniRef50_A0A916QKD8, UniRef:UniRef90_A0A349ZE40
contig_1	cds	62786	63640	-	EGDEDF_00056	lysR	HTH-type transcriptional activator AllS	COG:COG0583, COG:K, RefSeq:WP_033639068.1, SO:0001217, UniParc:UPI000508BBCB, UniRef:UniRef100_A0A3E2E8N1, UniRef:UniRef50_K1JD05, UniRef:UniRef90_A0A3S4WQY1
contig_1	cds	63767	64966	+	EGDEDF_00057	cynX	Inner membrane transport protein YeaN	COG:COG2807, COG:P, RefSeq:WP_028128284.1, SO:0001217, UniParc:UPI0002F0A684, UniRef:UniRef100_UPI0002F0A684, UniRef:UniRef50_P17583, UniRef:UniRef90_A0AAN2UQD0
contig_1	cds	65042	66385	+	EGDEDF_00058		Glycerophosphodiester phosphodiesterase	SO:0001217, UniRef:UniRef50_D1P4D1, UniRef:UniRef90_A0AAX0K899
contig_1	tRNA	66484	66578	+	EGDEDF_00059	trnU	tRNA-SeC(tca)	SO:0005857
contig_1	cds	67517	68305	-	EGDEDF_00060	ompV	MltA-interacting MipA family protein	COG:COG3713, COG:M, SO:0001217, UniRef:UniRef50_S3JCW4, UniRef:UniRef90_A0A656VMZ1
contig_1	cds	68434	69132	+	EGDEDF_00061	ompR	Response regulator ArlR	COG:COG0745, COG:TK, KEGG:K18144, RefSeq:WP_346403758.1, SO:0001217, UniParc:UPI003204DEDA, UniRef:UniRef100_UPI003204DEDA, UniRef:UniRef50_A0A3M5UIW8, UniRef:UniRef90_A0A379Y6T4
contig_1	cds	69129	70316	+	EGDEDF_00062	baeS	histidine kinase	COG:COG0642, COG:T, RefSeq:WP_261465602.1, SO:0001217, UniParc:UPI0021774602, UniRef:UniRef100_UPI0021774602, UniRef:UniRef50_A0A379Y6G4, UniRef:UniRef90_A0A379Y6G4
contig_1	cds	70517	71044	+	EGDEDF_00063	mPO1	DUF962 domain-containing protein	COG:COG4539, COG:I, SO:0001217, UniRef:UniRef50_A0A109L918, UniRef:UniRef90_A0A1Q4NZ18
contig_1	cds	71651	72751	-	EGDEDF_00064	fadH	N-ethylmaleimide reductase	COG:C, COG:COG1902, RefSeq:WP_016929541.1, SO:0001217, UniParc:UPI00030DAE88, UniRef:UniRef100_A0A5F0Z3W6, UniRef:UniRef50_K9E282, UniRef:UniRef90_A0A656VMY9
contig_1	cds	73132	74298	+	EGDEDF_00065	araJ	Inner membrane transport protein ydhP	COG:COG2814, COG:G, KEGG:K19577, RefSeq:WP_033631452.1, SO:0001217, UniParc:UPI0004E72FCF, UniRef:UniRef100_UPI0004E72FCF, UniRef:UniRef50_P77389, UniRef:UniRef90_A0A379Y792
contig_1	cds	74333	75082	-	EGDEDF_00066	wcaG	NAD-dependent epimerase/dehydratase domain-containing protein	COG:COG0451, COG:M, SO:0001217, UniRef:UniRef50_A0A6J4VEK4, UniRef:UniRef90_A0AAT9F4C2
contig_1	cds	75741	77606	+	EGDEDF_00067	bglF	PTS beta-glucoside transporter subunit IIABC	COG:COG2190, COG:G, EC:2.7.1.-, KEGG:K02757, SO:0001217, UniRef:UniRef50_P08722, UniRef:UniRef90_A0A1Q4NZ27
contig_1	cds	77621	79024	+	EGDEDF_00068		glycoside hydrolase family 1 protein	SO:0001217, UniRef:UniRef50_P26206, UniRef:UniRef90_UPI0011E7D19C
contig_1	cds	79148	80545	+	EGDEDF_00069	oprB	Outer membrane protein D1	COG:COG3659, COG:M, SO:0001217, UniParc:UPI0002AF436D, UniRef:UniRef100_A0A379Y8C5, UniRef:UniRef50_A0A2X4WYK1, UniRef:UniRef90_A0A379Y8C5
contig_1	cds	80546	81145	-	EGDEDF_00070	spoT	GTP pyrophosphokinase	COG:COG0317, COG:TK, RefSeq:WP_016929535.1, SO:0001217, UniParc:UPI0002E17E39, UniRef:UniRef100_A0A349ZCB0, UniRef:UniRef50_A0A6P1Q5U4, UniRef:UniRef90_A0A542C7F4
contig_1	cds	81242	81706	+	EGDEDF_00071	marR	MarR family transcriptional regulator	COG:COG1846, COG:K, RefSeq:WP_197789609.1, SO:0001217, UniParc:UPI0018D76B9B, UniRef:UniRef100_UPI0018D76B9B, UniRef:UniRef50_A0A170YVE8, UniRef:UniRef90_A0A3E2E9D6
contig_1	cds	81867	82292	+	EGDEDF_00072	osmC	Organic hydroperoxide resistance protein	COG:COG1764, COG:V, EC:1.11.1.28, KEGG:K04063, RefSeq:WP_004934114.1, SO:0001217, UniParc:UPI0000E74987, UniRef:UniRef100_A0A084X227, UniRef:UniRef50_A0A0U3W8T7, UniRef:UniRef90_A0A0E1NGU0
contig_1	cds	82518	84212	+	EGDEDF_00073	eptB	kdo(2)-lipid A phosphoethanolamine 7''-transferase	COG:COG2194, COG:M, EC:2.7.8.42, GO:0008484, KEGG:K12975, RefSeq:WP_016929532.1, SO:0001217, UniParc:UPI0002D29154, UniRef:UniRef100_A0A3E2E9G8, UniRef:UniRef50_A0A0F7HAM9, UniRef:UniRef90_A0A240A8X9
contig_1	cds	84336	84926	+	EGDEDF_00074	uhpA	transcriptional regulator UhpA	COG:COG2197, COG:TK, GO:0003677, GO:0006355, KEGG:K07686, SO:0001217, UniRef:UniRef50_A0A0E1NG54, UniRef:UniRef90_A0A240A8R9
contig_1	cds	84923	86467	+	EGDEDF_00075	uhpB	signal transduction histidine-protein kinase/phosphatase UhpB	COG:COG3851, COG:T, EC:2.7.13.3, GO:0000155, GO:0000160, RefSeq:WP_346403751.1, SO:0001217, UniParc:UPI003204E696, UniRef:UniRef100_UPI003204E696, UniRef:UniRef50_A0A379Y690, UniRef:UniRef90_A0A379Y690
contig_1	cds	86564	87895	+	EGDEDF_00076	uhpC	Regulatory protein uhpC	COG:COG2271, COG:G, RefSeq:WP_197755638.1, SO:0001217, UniParc:UPI0018D64A5E, UniRef:UniRef100_UPI0018D64A5E, UniRef:UniRef50_P09836, UniRef:UniRef90_A0A379Y8B4
contig_1	tRNA	88015	88091	+	EGDEDF_00077	trnP	tRNA-Pro(tgg)	SO:0000268
contig_1	ncRNA-region	88127	88255	+			RtT RNA	RFAM:RF00391, SO:0005836
contig_1	cds	88683	90374	+	EGDEDF_00078		chitinase	SO:0001217, UniRef:UniRef50_A0A240A944, UniRef:UniRef90_A0A240A944
contig_1	cds	90976	92583	+	EGDEDF_00079	dppA	dipeptide ABC transporter periplasmic-binding protein DppA	COG:COG0747, COG:E, EC:7.4.2.9, GO:0030288, GO:0042938, GO:0071916, KEGG:K12368, RefSeq:WP_016929528.1, SO:0001217, UniParc:UPI0002D428CA, UniRef:UniRef100_UPI0002D428CA, UniRef:UniRef50_P23847, UniRef:UniRef90_A0A084A593
contig_1	cds	92754	93773	+	EGDEDF_00080	dppB	dipeptide ABC transporter permease DppB	COG:COG0601, COG:EP, EC:7.4.2.-, KEGG:K12369, RefSeq:WP_033634229.1, SO:0001217, UniParc:UPI0005071706, UniRef:UniRef100_A0A5C7CCF3, UniRef:UniRef50_P0AEF8, UniRef:UniRef90_A0A564ITM9
contig_1	cds	93785	94687	+	EGDEDF_00081	dppC	dipeptide ABC transporter permease DppC	COG:COG1173, COG:EP, EC:7.4.2.-, GO:0055085, KEGG:K12370, RefSeq:WP_025304838.1, SO:0001217, UniParc:UPI0003219F9C, UniRef:UniRef100_A0A2S4X5Q6, UniRef:UniRef50_P0AEG1, UniRef:UniRef90_A0A240A969
contig_1	cds	94703	95683	+	EGDEDF_00082	dppD	dipeptide ABC transporter ATP-binding protein	EC:7.4.2.-, GO:0000166, GO:0005524, GO:0015833, SO:0001217, UniRef:UniRef50_A0A2V4HD94, UniRef:UniRef90_A0A2V4HD94
contig_1	cds	95680	96669	+	EGDEDF_00083	dppF	dipeptide ABC transporter ATP-binding subunit DppF	COG:COG4608, COG:E, EC:7.4.2.9, GO:0016020, GO:0042938, GO:0071916, RefSeq:WP_016929525.1, SO:0001217, UniParc:UPI0002F2F86A, UniRef:UniRef100_A0A3E2E9B8, UniRef:UniRef50_P37313, UniRef:UniRef90_A0A0F6KPU8
contig_1	cds	96968	98623	-	EGDEDF_00084	bcsG	cellulose biosynthesis protein BcsG	EC:2.7.8.-, GO:0030244, RefSeq:WP_042706338.1, SO:0001217, UniParc:UPI0005B27E5B, UniRef:UniRef100_A0A379Y6L0, UniRef:UniRef50_P37659, UniRef:UniRef90_A0A379Y6L0
contig_1	cds	98620	98823	-	EGDEDF_00085	bcsE	cellulose biosynthesis protein BcsE	GO:0035438, RefSeq:WP_004934139.1, SO:0001217, UniParc:UPI0002AF343F, UniRef:UniRef100_A0A379Y670, UniRef:UniRef50_A1JSU1, UniRef:UniRef90_A0A2S4X5T6
contig_1	cds	98810	100378	-	EGDEDF_00086	bcsE	cellulose biosynthesis protein BcsE	GO:0035438, SO:0001217, UniRef:UniRef50_A1JSU1, UniRef:UniRef90_A0A1Q4NX74
contig_1	cds	100568	100759	+	EGDEDF_00087	bcsR	cellulose biosynthesis protein BcsR	RefSeq:WP_016929521.1, SO:0001217, UniParc:UPI00031BFCC1, UniRef:UniRef100_UPI00031BFCC1, UniRef:UniRef50_A0A0H3I342, UniRef:UniRef90_A0A1Q4NXA4
contig_1	cds	100763	101503	+	EGDEDF_00088	bcsQ	cellulose biosynthesis protein BcsQ	COG:COG1192, COG:DN, GO:0090540, RefSeq:WP_028127819.1, SO:0001217, UniParc:UPI0003013330, UniRef:UniRef100_A0A349ZJY6, UniRef:UniRef50_I2B428, UniRef:UniRef90_A0A349ZJY6
contig_1	cds	101500	104103	+	EGDEDF_00089	bcsA	UDP-forming cellulose synthase catalytic subunit	COG:COG1215, COG:N, EC:2.4.1.12, GO:0006011, GO:0016020, GO:0016760, GO:0030244, GO:0035438, KEGG:K00694, SO:0001217, UniRef:UniRef50_A0A2P5TPK4, UniRef:UniRef90_A0A2X4U975
contig_1	cds	104166	106472	+	EGDEDF_00090	bcsB	cellulose biosynthesis cyclic di-GMP-binding regulatory protein BcsB	RefSeq:WP_048796355.1, SO:0001217, UniParc:UPI00066018DE, UniRef:UniRef100_UPI00066018DE, UniRef:UniRef50_A0A0G4JSU0, UniRef:UniRef90_A0A5C7CCG1
contig_1	cds	106487	107590	+	EGDEDF_00091	bcsZ	cellulose synthase complex periplasmic endoglucanase BcsZ	COG:COG3405, COG:G, EC:3.2.1.4, GO:0004553, GO:0005975, KEGG:K20542, SO:0001217, UniRef:UniRef50_P37651, UniRef:UniRef90_A0A240AA04
contig_1	cds	107572	111045	+	EGDEDF_00092	bcsC	cellulose synthase complex outer membrane protein BcsC	COG:COG3118, COG:O, GO:0005515, GO:0019867, GO:0030244, KEGG:K20543, SO:0001217, UniRef:UniRef50_A0AAE9SZU5, UniRef:UniRef90_A0A5C7CCG5
